Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (pixels)	Cell Density (per megapixel)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Category Region ID	Distance from Tissue Category Edge (pixels)	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	"Nucleus DAPI (DAPI) Min (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Mean (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Max (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus DAPI (DAPI) Total (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Min (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Max (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD4 (Opal 520) Total (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Min (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Max (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD20 (Opal 540) Total (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Min (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Max (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD8 (Opal 570) Total (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Min (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Mean (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Max (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus FoxP3 (Opal 620) Total (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Min (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Mean (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Max (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus CD68 (Opal 650) Total (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Min (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Mean (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Max (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Std Dev (Normalized Counts, Total Weighting)"	"Nucleus PanCK (Opal 690) Total (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Min (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Max (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Std Dev (Normalized Counts, Total Weighting)"	"Nucleus Autofluorescence Total (Normalized Counts, Total Weighting)"	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.6781.17769
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	CD68	all	98	1246080	78.6							11775	0.94%					0	3.054	11.031	1.127	35962.34	0	0.793	8.746	0.732	9337.708	0	0.034	1.937	0.065	397.146	0	0.014	1.564	0.041	166.181	0	1.217	7.149	0.62	14329.973	0	10.749	55.505	5.794	126571.86	0	6.271	34.472	3.133	73841.219	2.155	6.763	16.202	0.932	79640.186		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	CD8	all	11	1246080	8.83							1257	0.10%					0.805	4.649	14.892	1.049	5843.198	0	0.926	15.467	1.379	1164.016	0	0.447	2.624	0.308	561.911	0	0.858	4.925	0.268	1077.944	0	0.421	10.559	0.33	529.237	0	1.289	9.948	1.013	1619.704	0.273	2.389	5.692	0.535	3003.549	0.608	7.027	15.497	1.024	8833.344		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	FoxP3	all	3	1246080	2.4							113	0.01%					0.413	3.626	10.825	2.674	409.787	0	1.468	6.238	1.442	165.88	0	0.007	0.207	0.007	0.777	0	0.001	0.06	0.001	0.112	0	1.587	10.34	2.256	179.361	0	5.16	12.939	3.894	583.031	0.525	2.683	6.065	0.932	303.165	2.381	7.777	16.373	3.656	878.758		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	others	all	1635	1246080	1312.1							323359	25.95%					0	3.043	20.161	1.569	984052.406	0	0.139	10.209	0.255	45107.645	0	0.046	4.616	0.081	14923.275	0	0.029	2.664	0.06	9304.778	0	0.05	4.366	0.151	16111.073	0	0.331	26.243	1.118	106996.27	0	8.106	31.498	4.24	2621157.216	1.108	6.613	21.819	1.1	2138455.518		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	Treg	all	145	1246080	116.4							14069	1.13%					0	3.824	14.771	1.329	53794.029	0	2.422	18.848	1.846	34074.407	0	0.218	10.624	0.312	3061.752	0	0.055	3.196	0.094	768.656	0	2.518	33.381	3.933	35428.616	0	3.177	40.513	4.115	44701.274	0	3.889	27.366	2.106	54711.951	1.895	7.022	13.806	1.048	98797.723		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Tumor	All	all	1930	1246080	1548.9							352861	28.32%					0	3.078	20.161	1.539	1086068.645	0	0.271	18.848	0.95	95466.295	0	0.054	10.624	0.127	19143.179	0	0.032	4.925	0.091	11420.608	0	0.19	33.381	1.279	66964.6	0	0.801	55.505	3.182	282747.808	0	7.837	34.472	4.177	2765343.201	0.608	6.635	21.819	1.095	2341308.223		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	CD20	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	CD4	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	CD68	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	CD8	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	FoxP3	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	others	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	Treg	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Empty	All	all	0	192	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	CD20	all	32	16640	1920							3063	18.41%					0	3.483	13.053	1.011	10669.276	0	1.456	9.123	0.982	4460.835	0.476	14.67	39.26	6.25	44932.707	0	0	0.26	0	0.431	0	0.074	1.006	0.052	228.042	0	0.835	7.475	0.457	2556.633	0	1.256	5.021	0.36	3846.121	3.5	8.621	16.647	1.348	26405.487		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	CD4	all	0	16640	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	CD68	all	0	16640	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	CD8	all	0	16640	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	FoxP3	all	0	16640	0							0	0.00%					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	others	all	6	16640	360							645	3.88%					0.126	2.854	7.66	0.962	1840.743	0	0.388	2.911	0.33	250.089	0	2.114	9.42	0.968	1363.808	0	0.021	0.451	0.031	13.394	0	0.12	0.602	0.106	77.329	0	0.893	3.397	0.641	576.205	0	1.461	3.928	0.513	942.312	1.561	5.888	10.117	1.029	3797.509		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	Treg	all	35	16640	2100							3264	19.62%					0.043	3.533	12.537	1.181	11533.304	0	1.665	13.264	1.391	5434.43	0	5.546	31.539	5.703	18102.489	0	0.037	1.79	0.075	121.941	0	0.478	12.609	1.008	1559.944	0	2.381	17.648	2.305	7770.575	0	2.14	9.737	1.024	6984.581	2.87	7.316	14.411	1.141	23878.375		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	Strama2	All	all	73	16640	4390							6972	41.90%					0	3.449	13.053	1.096	24043.324	0	1.455	13.264	1.209	10145.355	0	9.237	39.26	7.59	64399.005	0	0.019	1.79	0.055	135.767	0	0.268	12.609	0.732	1865.315	0	1.564	17.648	1.847	10903.412	0	1.689	9.737	0.887	11773.014	1.561	7.757	16.647	1.54	54081.371		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	CD20	all	164	2628288	62.4							13863	1.02%					0	3.761	16.286	1.325	52141.262	0	1.205	11.794	0.954	16700.665	0	13.072	50.437	6.217	181217.129	0	0.019	2.489	0.093	265.502	0	0.083	4.028	0.114	1157.377	0	0.55	14.114	0.547	7618.363	0	1.09	6.561	0.476	15114.151	2.439	8.937	22.822	1.668	123894.782		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	CD4	all	29	2628288	11							2262	0.18%					0.252	3.748	13.206	1.458	8477.087	1.323	5.604	13.078	1.483	12675.881	0	1.063	30.102	2.9	2403.644	0	0.064	0.76	0.043	144.939	0	0.169	6.541	0.697	382.585	0	0.984	13.641	2.135	2226.351	0	1.629	8.43	0.914	3685.46	2.308	7.196	13.713	1.085	16278.249		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	CD68	all	122	2628288	46.42							14370	1.15%					0	3.07	11.031	1.064	44122.503	0	0.835	14.809	0.768	12005.322	0	0.062	8.571	0.138	890.537	0	0.018	1.564	0.044	257.967	0	1.151	8.39	0.608	16543.175	0	10.03	55.505	5.665	144131.243	0	5.726	34.472	3.104	82285.087	2.155	6.855	16.202	0.945	98512.706		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	CD8	all	79	2628288	30.1							7618	0.56%					0.086	4.75	14.892	1.364	36183.783	0	0.689	15.467	0.818	5251.325	0	0.767	21.052	1.335	5839.654	0	0.844	6.471	0.447	6431.924	0	0.411	10.559	0.534	3127.203	0	0.598	21.992	0.735	4557.209	0	1.745	17.827	0.787	13296.825	0.608	7.479	21.541	1.591	56972.609		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	FoxP3	all	92	2628288	35							6852	0.50%					0.092	4.865	16.933	2.138	33333.619	0	0.828	11.437	0.729	5671.92	0	0.935	21.152	1.981	6409.753	0	0.068	3.766	0.147	468.822	0	1.53	16.65	1.778	10481.162	0	0.146	12.939	0.986	1000.271	0	0.762	8.183	0.528	5218.478	1.247	9.111	23.422	2.078	62426.389		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	others	all	3582	2628288	1362.9							497965	39.96%					0	3.226	20.161	1.682	1606446.799	0	0.175	11.713	0.374	87048.824	0	0.271	28.262	1.212	134896.685	0	0.043	5.46	0.102	21453.156	0	0.049	4.681	0.12	24570.065	0	0.331	26.243	0.88	164957.968	0	5.62	31.498	4.31	2798756.653	0.234	6.785	23.127	1.314	3378761.341		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	Treg	all	601	2628288	228.7							54457	3.99%					0	3.855	15.27	1.528	209957.966	0	2.097	18.848	1.588	114207.071	0	2.148	38.915	3.61	116983.516	0	0.05	4.801	0.088	2727.205	0	1.534	33.381	2.916	83553.007	0	1.778	40.513	2.844	96814.644	0	2.391	27.366	1.589	130221.526	1.091	7.123	19.786	1.322	387923.24		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[6777,57431].im3"	All	All	all	4736	2628288	1801.9							600180	48.17%					0	3.33	20.161	1.673	1998885.733	0	0.424	18.848	1.055	254552.721	0	0.752	50.437	3.252	451124.822	0	0.053	6.471	0.164	31908.002	0	0.233	33.381	1.198	140021.983	0	0.704	55.505	2.291	422265.056	0	5.099	34.472	3.967	3060309.147	0.234	6.904	23.422	1.429	4143538.826		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[5639,56968].im3"	Strama	CD20	all	731	2067200	353.6							70701	3.42%					0	3.294	10.19	1.032	232882.857	0	1.459	19.055	0.967	103178.445	0	13.215	63.375	6.371	934330.644	0	0.027	6.22	0.083	1883.283	0	0.108	7.414	0.178	7648.595	0	0.546	30.104	0.603	38598.553	0	1.311	12.631	0.523	92688.923	2.269	8.364	20.309	1.372	591370.949		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[5639,56968].im3"	Strama	CD4	all	45	2067200	21.8							3583	0.17%					0.395	3.347	8.135	0.832	11992.684	0.73	7.856	41.955	4.875	28149.464	0	1.439	28.247	1.945	5155.331	0	0.221	2.064	0.125	793.288	0	0.097	4.025	0.138	347.678	0	0.912	16.195	0.985	3266.38	0	1.882	8.088	0.782	6743.397	3.188	8.307	15.468	1.431	29764.557		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[5639,56968].im3"	Strama	CD68	all	52	2067200	25.2							5571	0.27%					0	2.811	9.206	0.99	15662.631	0	1.357	12.665	1.125	7558.826	0	1.205	19.738	1.298	6714.623	0	0.076	4.59	0.09	420.962	0	1.281	9.718	0.737	7136.713	0	8.604	48.37	4.204	47933.167	0	4.63	18.944	1.79	25794.758	2.604	7.67	17.08	0.941	42732.127		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[5639,56968].im3"	Strama	CD8	all	69	2067200	33.4							8241	0.40%					0.266	3.872	11.925	0.876	31912.337	0	1.137	13.782	1.029	9372.125	0	1.724	30.747	1.899	14205.907	0	0.81	11.398	0.738	6674.869	0	0.465	14.407	0.967	3828.254	0	0.786	19.041	1.079	6478.46	0	1.757	9.044	0.779	14482.758	2.787	7.863	16.641	1.047	64801.989		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[5639,56968].im3"	Strama	FoxP3	all	56	2067200	27.1							4211	0.20%					0.011	3.613	9.735	1.276	15215.518	0	1.154	6.377	0.633	4860.516	0	1.844	33.798	2.503	7764.768	0	0.104	2.829	0.089	438.993	0	2.284	20.284	2.443	9618.221	0	0.339	9.629	0.61	1428.468	0	1.4	8.48	0.804	5894.638	3.008	8.308	18.046	1.08	34982.896		13-2146	0	0	0	0		
E:\20190105 UC 2ed\UC 2ed\13-2146\Scan1\MSI	"13-2146_[5639,56968].im3"	Strama	others	all	3793	2067200	1834.8							371355	17.96%					0	2.961	12.894	1.246	1099418.865	0	0.54	12.02	0.623	200541.626	0	1.581	42.241	2.274	587178.526	0	0.112	4.78	0.158	41533.692	0	0.095	13.409	0.16	35287.784	0	0.651	26.213	0.886	241857.121	0	1.315	13.845	0.691	488218.513	1.74	7.307	19.907	1.219	2713639.193		13-2146	0	0	0	0		
